상호명,상권업종소분류명,시도명,시군구명,경도,위도
블랑꼬피트니스태장점,헬스장,강원특별자치도,원주시,127.950382902222,37.3803184537147
모션피트니스,헬스장,강원특별자치도,횡성군,127.983395614859,37.4856075085029
프리짐강대,헬스장,강원특별자치도,춘천시,127.742063863821,37.8729894506623
아사힘춘천지점,헬스장,강원특별자치도,춘천시,127.74718308751,37.8813357150605
헬스엔젤스필라테스춘천평생교육원,헬스장,강원특별자치도,춘천시,127.749408002841,37.8810422845718
바디-로,헬스장,강원특별자치도,춘천시,127.727789158428,37.8822680478609
피트니스원택지점,헬스장,강원특별자치도,강릉시,128.886568316949,37.7653982365866
배러핏,헬스장,강원특별자치도,강릉시,128.869228642323,37.7568193335302
청년헬스,헬스장,강원특별자치도,춘천시,127.714623750283,37.8690689792125
24시웰스포짐,헬스장,강원특별자치도,강릉시,128.827585200993,37.8851940744861
바디니즈휘트니스,헬스장,강원특별자치도,춘천시,127.746466005318,37.8553303956681
홍키통키,헬스장,강원특별자치도,원주시,127.876574628828,37.3753204409659
위너핏,헬스장,강원특별자치도,평창군,128.39174961728,37.3757041999589
하이엔드스튜디오,헬스장,강원특별자치도,속초시,128.585921504078,38.1886603793346
파워피트니스,헬스장,강원특별자치도,춘천시,127.751032847078,37.8541121247509
씨앤씨운동재활·피트니스센터,헬스장,강원특별자치도,강릉시,128.91199792687,37.7711049497747
크로스핏에임,헬스장,강원특별자치도,원주시,127.979481552008,37.3240842574254
핏앤피트니스PT&그룹피티,헬스장,강원특별자치도,원주시,127.984358069479,37.3260169705833
제트짐,헬스장,강원특별자치도,강릉시,128.874956019427,37.7639080560553
핏앤피트니스,헬스장,강원특별자치도,원주시,127.929245074107,37.3343914714348
피트니스당구클럽,헬스장,강원특별자치도,강릉시,128.830217762494,37.8831803378335
바디짐휘트니스클럽,헬스장,강원특별자치도,홍천군,127.902979347605,37.6941468452409
펄핏스튜디오,헬스장,강원특별자치도,원주시,127.943871470132,37.323788047169
산타크로스핏,헬스장,강원특별자치도,춘천시,127.721557609535,37.8657022487643
리빌딩트레이닝센터,헬스장,강원특별자치도,태백시,128.994109173271,37.1690540165745
강북짐,헬스장,강원특별자치도,춘천시,127.72245320159,37.9143378920918
예성,헬스장,강원특별자치도,강릉시,128.883114057567,37.7401577906455
베이직핏,헬스장,강원특별자치도,강릉시,128.870426101369,37.7615658002303
팀스윙스톤,헬스장,강원특별자치도,속초시,128.576751448151,38.2069534071263
아베크짐,헬스장,강원특별자치도,춘천시,127.718584523802,37.8673240913128
비원바디스튜디오,헬스장,강원특별자치도,태백시,128.98817278883,37.1629014925171
파워투벨,헬스장,강원특별자치도,강릉시,128.876638869252,37.764043412768
와이케이피팅샵,헬스장,강원특별자치도,동해시,129.105559787123,37.5036269452634
박스더영월,헬스장,강원특별자치도,영월군,128.455613818272,37.1954548661697
더피트니스랩,헬스장,강원특별자치도,춘천시,127.724107712331,37.8719660869803
굿리프트,헬스장,강원특별자치도,춘천시,127.735760764957,37.8631818322729
팀노마드,헬스장,강원특별자치도,동해시,129.11692295481,37.5232062944926
브레이브힐석사점,헬스장,강원특별자치도,춘천시,127.748742287498,37.8500815229542
경헬스클럽,헬스장,강원특별자치도,삼척시,129.043986788072,37.2302576007233
브레이브힐,헬스장,강원특별자치도,춘천시,127.728139273316,37.9062756055327
디엠헬스클럽,헬스장,강원특별자치도,강릉시,128.899567330196,37.7603067923059
엔터핏헬스&골프&GX원주,헬스장,강원특별자치도,원주시,127.980904352749,37.3267844726262
카페인헬스장,헬스장,강원특별자치도,춘천시,127.748742287498,37.8500815229542
브레이브힐,헬스장,강원특별자치도,춘천시,127.749878615321,37.8803726005636
크로스핏양구,헬스장,강원특별자치도,양구군,127.996057103436,38.0926725699051
짐크래커,헬스장,강원특별자치도,양양군,128.61334210916,38.0785754509973
피지컬짐,헬스장,강원특별자치도,원주시,127.978645597316,37.3240010751685
바디스타일,헬스장,강원특별자치도,횡성군,127.986697559794,37.4873639032217
핏앤피트니스PT&그룹피티,헬스장,강원특별자치도,원주시,127.984358069479,37.3260169705833
액션피트니스,헬스장,강원특별자치도,춘천시,127.744855618723,37.8511242270906
뽀빠이헬스클럽,헬스장,강원특별자치도,영월군,128.464364578549,37.1837875132572
올핀트레이닝센터,헬스장,강원특별자치도,춘천시,127.720128782545,37.8636838984216
